taxa de cruzamento, taxa de mutação, tamanho da população, número de gerações, algoritmo de cruzamento, fitness, média
50,1,25,25,BLXa,0.033759538320069726,0.8121927940749852
50,1,25,25,BLXab,0.05953704433750362,0.25332019408423995
50,1,50,25,BLXa,0.3772140209026493,0.5245458732331041
50,1,50,25,BLXab,0.06409672411637901,0.742912439850705
50,1,100,25,BLXa,0.0057778341242706865,0.6776601810987134
50,1,100,25,BLXab,0.00014568676750004173,0.175247312981992
50,1,25,50,BLXa,0.38958317480740634,0.7722587081396912
50,1,25,50,BLXab,0.18300925993658668,1.23855023755491
50,1,50,50,BLXa,0.00013148182563726962,0.20968577449594936
50,1,50,50,BLXab,0.0011162835239102442,0.29452204097618684
50,1,100,50,BLXa,9.256189131168213e-06,0.39235413734060853
50,1,100,50,BLXab,2.8905529081413306e-08,0.252340186242013
50,1,25,100,BLXa,0.08705622012739811,0.15179042540105778
50,1,25,100,BLXab,0.0025572296224543045,0.25257341716496673
50,1,50,100,BLXa,1.0708779685231207e-07,0.13564222115004085
50,1,50,100,BLXab,3.922103219977657e-08,0.202781554031564
50,1,100,100,BLXa,4.6423753730095996e-11,0.09744962654032617
50,1,100,100,BLXab,4.707789713620514e-12,0.055557566042131565
50,5,25,25,BLXa,0.29812184667300956,1.2796858388346104
50,5,25,25,BLXab,0.023435334345208947,1.6582034716100773
50,5,50,25,BLXa,0.012436331803489242,0.4819950700744138
50,5,50,25,BLXab,0.05211068683882347,0.8750531821534829
50,5,100,25,BLXa,0.11062129583724856,0.3068475184599283
50,5,100,25,BLXab,0.001294092231941324,0.46223408297278135
50,5,25,50,BLXa,0.008528693000972698,0.6126499541815613
50,5,25,50,BLXab,1.7691286156671286,1.949510272869234
50,5,50,50,BLXa,0.007159373180617212,0.3583595339024301
50,5,50,50,BLXab,0.0001570775690820092,0.22582234563015566
50,5,100,50,BLXa,9.881417867507736e-06,0.29737579934083247
50,5,100,50,BLXab,5.067147346160539e-07,0.21732912893183123
50,5,25,100,BLXa,5.578854576215875e-05,0.3545714528565156
50,5,25,100,BLXab,2.120084797984046,2.1979552196641414
50,5,50,100,BLXa,7.166189863738737e-09,0.17089400040319838
50,5,50,100,BLXab,9.239859100063086e-09,0.1709897202861024
50,5,100,100,BLXa,8.570921750106208e-14,0.10905997922849257
50,5,100,100,BLXab,5.155875726359227e-13,0.14432375132074216
50,10,25,25,BLXa,0.020779582852104017,0.6108834252764802
50,10,25,25,BLXab,0.6842215618476648,1.4171941761277507
50,10,50,25,BLXa,0.007286651432928171,0.5025166490909806
50,10,50,25,BLXab,0.02758730250006325,0.4840895241914738
50,10,100,25,BLXa,0.028607433174525188,0.6070229910136241
50,10,100,25,BLXab,0.0024654161536372676,0.23456951724159844
50,10,25,50,BLXa,0.015019129708822465,0.8219305249896018
50,10,25,50,BLXab,0.057051869829447543,0.6910559069132237
50,10,50,50,BLXa,1.4112321217840673e-05,0.3174700566490854
50,10,50,50,BLXab,7.167115758655029e-07,0.29739390647509384
50,10,100,50,BLXa,1.933569970136162e-05,0.3406568169573266
50,10,100,50,BLXab,5.307763872863802e-08,0.15069968216712848
50,10,25,100,BLXa,0.1481665832458927,0.9401365463734106
50,10,25,100,BLXab,0.002846557929775617,0.3761571768396881
50,10,50,100,BLXa,0.4129812374146238,0.41298123741462417
50,10,50,100,BLXab,8.225673475692474e-10,0.09923117208324887
50,10,100,100,BLXa,1.4245481638752722e-07,0.16439406642385884
50,10,100,100,BLXab,3.9968028886505635e-15,0.05869878497158704
80,1,25,25,BLXa,0.05469763038888731,0.8124967486016169
80,1,25,25,BLXab,0.011512349018485413,1.158644815752448
80,1,50,25,BLXa,0.36141486940622913,0.6625732092271476
80,1,50,25,BLXab,0.0010301384809499048,0.39843402701513164
80,1,100,25,BLXa,0.0013912952877785933,0.40667490029257414
80,1,100,25,BLXab,0.00034768343999802553,0.319076876862152
80,1,25,50,BLXa,0.0009327427491219176,0.6172235580913213
80,1,25,50,BLXab,0.0006133629919031769,0.120349166839602
80,1,50,50,BLXa,1.827347265193069e-05,0.5314450470377744
80,1,50,50,BLXab,4.169689038491242e-09,0.10491929503173178
80,1,100,50,BLXa,6.6704769996484e-06,0.21446701828540346
80,1,100,50,BLXab,4.7901682620477004e-11,0.1774416986180076
80,1,25,100,BLXa,1.2004174512192378e-06,0.5816413201286342
80,1,25,100,BLXab,1.3734560468936508e-05,0.10055688565462989
80,1,50,100,BLXa,3.020250716190276e-12,0.17317525555957977
