execução, taxa de cruzamento, taxa de mutação, número de gerações, número de indivíduos, cruzamento, fitness, média
0,80,1,100,100,BLXab,4.440892098500626e-16,0.08909269957010496
1,80,1,100,100,BLXab,4.440892098500626e-16,0.07157344078790208
2,80,1,100,100,BLXab,4.440892098500626e-16,0.054330457848267726
3,80,1,100,100,BLXab,4.440892098500626e-16,0.08102841536337921
4,80,1,100,100,BLXab,4.440892098500626e-16,0.11182934341207615
5,80,1,100,100,BLXab,4.440892098500626e-16,0.13443886653936837
6,80,1,100,100,BLXab,4.440892098500626e-16,0.07380363004103713
7,80,1,100,100,BLXab,4.440892098500626e-16,0.07336837929222478
8,80,1,100,100,BLXab,4.440892098500626e-16,0.12097106684179496
9,80,1,100,100,BLXab,4.440892098500626e-16,0.09375300720020868
0,80,5,50,100,BLXab,2.903189244563009e-09,0.198882926533749
1,80,5,50,100,BLXab,4.0829210679049766e-08,0.17506248108154016
2,80,5,50,100,BLXab,1.1160250057429266e-08,0.15700052697278236
3,80,5,50,100,BLXab,4.997677827134339e-10,0.13944152332542753
4,80,5,50,100,BLXab,3.0353364266488825e-10,0.18581686444014292
5,80,5,50,100,BLXab,2.0834207692388418e-08,0.027605626367237353
6,80,5,50,100,BLXab,2.0678965206855082e-09,0.13381368500524796
7,80,5,50,100,BLXab,8.420178376766785e-08,0.11292645110759021
8,80,5,50,100,BLXab,8.77329897619461e-09,0.2019068819144268
9,80,5,50,100,BLXab,2.3829724415946885e-08,0.1494893283940468
0,80,5,100,100,BLXab,4.440892098500626e-16,0.12984607738258597
1,80,5,100,100,BLXab,4.440892098500626e-16,0.07266610044977066
2,80,5,100,100,BLXab,4.440892098500626e-16,0.07097939500593187
3,80,5,100,100,BLXab,4.440892098500626e-16,0.06044732203311361
4,80,5,100,100,BLXab,4.440892098500626e-16,0.11566757132497622
5,80,5,100,100,BLXab,4.440892098500626e-16,0.05299735326435569
6,80,5,100,100,BLXab,4.440892098500626e-16,0.11000859397779879
7,80,5,100,100,BLXab,4.440892098500626e-16,0.09657560563793746
8,80,5,100,100,BLXab,4.440892098500626e-16,0.05993124286339933
9,80,5,100,100,BLXab,4.440892098500626e-16,0.056549393756092796
0,80,10,100,100,BLXab,4.440892098500626e-16,0.09717799427043766
1,80,10,100,100,BLXab,4.440892098500626e-16,0.07753219309143974
2,80,10,100,100,BLXab,4.440892098500626e-16,0.09877128401780469
3,80,10,100,100,BLXab,4.440892098500626e-16,0.08533255044901238
4,80,10,100,100,BLXab,4.440892098500626e-16,0.10166847942802397
5,80,10,100,100,BLXab,4.440892098500626e-16,0.09232716646789983
6,80,10,100,100,BLXab,4.440892098500626e-16,0.13571244034156923
7,80,10,100,100,BLXab,4.440892098500626e-16,0.10020848923894404
8,80,10,100,100,BLXab,4.440892098500626e-16,0.09366732595501917
9,80,10,100,100,BLXab,4.440892098500626e-16,0.08103425446441664
0,100,1,50,100,BLXab,1.1148859613285822e-11,0.05761220895803861
1,100,1,50,100,BLXab,2.4049073843457336e-10,0.1400387345907224
2,100,1,50,100,BLXab,1.5742829262421765e-10,0.19289792703738842
3,100,1,50,100,BLXab,2.833755452513742e-10,0.2059732364020604
4,100,1,50,100,BLXab,2.6963720145545267e-10,0.09889293274069562
5,100,1,50,100,BLXab,5.083475862477371e-10,0.06115685526051481
6,100,1,50,100,BLXab,8.235297332959135e-09,0.16747890913437563
7,100,1,50,100,BLXab,1.7210237679421425e-09,0.2503420421398951
8,100,1,50,100,BLXab,1.9952484109353463e-11,0.19298574703878646
9,100,1,50,100,BLXab,7.809792812452088e-10,0.11661475830734194
0,100,1,50,100,BLXa,1.7129481522104584e-07,0.1667624559857141
1,100,1,50,100,BLXa,4.1579254994594805e-06,0.2722851259342869
2,100,1,50,100,BLXa,3.501177485709661e-07,0.18562239354554738
3,100,1,50,100,BLXa,3.2724868548328345e-07,0.4246613466263851
4,100,1,50,100,BLXa,2.7861300155862523e-07,0.3312243250477433
5,100,1,50,100,BLXa,2.574039652536442e-07,0.36852502236648244
6,100,1,50,100,BLXa,1.0629856150856654e-07,0.23897296050442318
7,100,1,50,100,BLXa,6.157094833980636e-09,0.11853957660685363
8,100,1,50,100,BLXa,4.4391590536818626e-07,0.11752107953445201
9,100,1,50,100,BLXa,6.847100277873608e-07,0.34443980058291446
0,100,1,100,100,BLXab,4.440892098500626e-16,0.034078763444709795
1,100,1,100,100,BLXab,4.440892098500626e-16,0.06618313936345772
2,100,1,100,100,BLXab,4.440892098500626e-16,0.11173580641579446
3,100,1,100,100,BLXab,4.440892098500626e-16,0.07659457476412859
4,100,1,100,100,BLXab,4.440892098500626e-16,0.07578017619540736
5,100,1,100,100,BLXab,4.440892098500626e-16,0.10555530874593964
6,100,1,100,100,BLXab,4.440892098500626e-16,0.07899026543639712
7,100,1,100,100,BLXab,4.440892098500626e-16,0.06803661565591985
8,100,1,100,100,BLXab,4.440892098500626e-16,0.08979112455617753
9,100,1,100,100,BLXab,4.440892098500626e-16,0.09963961561140967
0,100,5,50,100,BLXab,7.725468709196548e-09,0.24788736820776155
1,100,5,50,100,BLXab,3.0576829956885376e-10,0.17035892113627715
2,100,5,50,100,BLXab,1.516703651560647e-09,0.16437326413002526
3,100,5,50,100,BLXab,7.710814209360706e-10,0.17898963544076363
4,100,5,50,100,BLXab,3.4535263537804894e-10,0.1688522045172177
5,100,5,50,100,BLXab,2.555258227232571e-10,0.1876398118210297
6,100,5,50,100,BLXab,5.059508367821763e-12,0.19430230755921432
7,100,5,50,100,BLXab,5.334443997639937e-11,0.14522840360757475
8,100,5,50,100,BLXab,1.7069412550085872e-10,0.11715873354649478
9,100,5,50,100,BLXab,5.94913318607837e-09,0.21770196628995545
0,100,5,100,100,BLXa,4.440892098500626e-16,0.02871782545484782
1,100,5,100,100,BLXa,3.9968028886505635e-15,0.23435418119413046
2,100,5,100,100,BLXa,4.440892098500626e-16,0.07818744817205393
3,100,5,100,100,BLXa,4.440892098500626e-16,0.12690511580617347
4,100,5,100,100,BLXa,4.440892098500626e-16,0.11637294641175751
5,100,5,100,100,BLXa,4.440892098500626e-16,0.06955259208564238
6,100,5,100,100,BLXa,8.864073685277418e-06,0.18966580106167252
7,100,5,100,100,BLXa,4.440892098500626e-16,0.04782075316259304
8,100,5,100,100,BLXa,4.440892098500626e-16,0.0890012492972353
9,100,5,100,100,BLXa,4.440892098500626e-16,0.018860624103724265
0,100,5,100,100,BLXab,4.440892098500626e-16,0.0839420720222503
1,100,5,100,100,BLXab,4.440892098500626e-16,0.08507592479816145
2,100,5,100,100,BLXab,4.440892098500626e-16,0.10778650579272225
